accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
2,-2,-1,26,978,-12,-1,-1,-1
2,-6,-6,-8,285,-367,-1,-1,-1
-1,0,0,-4,295,-359,-1,-1,-1
-1,0,0,0,304,-352,-1,-1,-1
7,-2,-6,-233,-605,633,-1,-1,-1
-5,7,0,9,339,-884,-1,-1,-1
-1,0,0,14,329,-328,-1,-1,-1
-1,0,0,18,337,-320,-1,-1,-1
-1,0,0,23,345,-311,-1,-1,-1
-3,2,0,27,426,754,-1,-1,-1
-1,0,0,31,360,-294,-1,-1,-1
-1,0,0,36,367,-284,-1,-1,-1
-1,0,0,41,375,-275,-1,-1,-1
7,-2,0,218,281,-898,-1,-1,-1
-1,0,3,49,387,-257,-1,-1,-1
-1,0,0,53,394,-246,-1,-1,-1
-1,0,0,58,400,-236,-1,-1,-1
-7,0,3,251,73,-72,-1,-1,-1
-1,0,0,66,411,-217,-1,-1,-1
-1,0,0,71,416,-206,-1,-1,-1
-1,0,0,75,422,-195,-1,-1,-1
3,-1,-1,883,840,79,-1,-1,-1
2,3,2,83,430,-175,-1,-1,-1
-1,0,0,48,440,-181,-1,-1,-1
-1,0,0,43,450,-168,-1,-1,-1
-3,-7,-1,-263,-605,-203,-1,-1,-1
6,-7,-1,50,458,-149,-1,-1,-1
0,0,0,96,438,-181,-1,-1,-1
-1,0,0,89,391,-268,-1,-1,-1
-7,1,6,-307,-605,-866,-1,-1,-1
4,6,6,176,264,-293,-1,-1,-1
-2,0,0,131,274,-270,-1,-1,-1
-2,0,0,198,280,-194,-1,-1,-1
-3,5,1,45,-605,-398,-1,-1,-1
4,5,4,134,144,-249,-1,-1,-1
-2,0,0,165,106,-284,-1,-1,-1
-2,0,0,177,-21,-336,-1,-1,-1
-2,0,0,169,-87,-379,-1,-1,-1
5,5,6,165,-138,745,-1,-1,-1
-1,0,0,102,-160,-441,-1,-1,-1
0,0,0,42,-118,-481,-1,-1,-1
-6,1,2,-605,85,974,-1,-1,-1
1,0,-4,386,100,-435,-1,-1,-1
0,0,0,470,41,-163,-1,-1,-1
0,0,0,291,-26,-404,-1,-1,-1
0,0,0,-48,-4,-489,-1,-1,-1
6,-3,5,-233,-337,9,-1,-1,-1
-1,0,-3,48,85,-470,-1,-1,-1
0,0,0,257,76,-413,-1,-1,-1
0,0,0,428,18,-252,-1,-1,-1
6,-5,7,340,-89,918,-1,-1,-1
0,0,7,80,-39,-487,-1,-1,-1
0,0,0,89,-58,-483,-1,-1,-1
0,0,0,248,145,-389,-1,-1,-1
6,-5,7,21,595,961,-1,-1,-1
-1,0,2,227,110,-385,-1,-1,-1
0,0,0,63,-140,-469,-1,-1,-1
-1,0,0,52,43,-478,-1,-1,-1
-4,2,6,-498,226,27,-1,-1,-1
-1,0,-4,204,346,-181,-1,-1,-1
-2,0,0,161,115,-374,-1,-1,-1
-1,0,0,118,-94,-458,-1,-1,-1
-4,-5,-6,114,828,195,-1,-1,-1
-2,2,2,265,310,-163,-1,-1,-1
-2,0,0,264,221,-250,-1,-1,-1
-1,0,0,171,2,-433,-1,-1,-1
1,-4,-6,-155,827,897,-1,-1,-1
0,4,-2,184,243,-331,-1,-1,-1
-1,0,0,311,315,-133,-1,-1,-1
-1,0,0,284,151,-310,-1,-1,-1
-1,5,5,-249,-605,951,-1,-1,-1
2,4,0,63,-13,-13,-1,-1,-1
-1,0,0,123,224,-376,-1,-1,-1
-1,0,0,311,279,-188,-1,-1,-1
5,-2,3,293,-605,-47,-1,-1,-1
6,-4,-1,219,-35,-441,-1,-1,-1
-1,0,0,202,54,-411,-1,-1,-1
-2,0,0,83,212,-297,-1,-1,-1
-2,0,0,91,219,-261,-1,-1,-1
7,3,0,184,53,523,-1,-1,-1
-1,0,0,285,144,-359,-1,-1,-1
0,0,0,378,222,-213,-1,-1,-1
-1,0,0,407,233,-71,-1,-1,-1
-5,-1,-4,315,-375,-671,-1,-1,-1
-2,0,0,71,5,-397,-1,-1,-1
-1,0,0,68,60,-422,-1,-1,-1
-1,0,0,241,225,-312,-1,-1,-1
2,-4,0,387,-392,-91,-1,-1,-1
-1,0,0,413,209,-139,-1,-1,-1
-2,0,0,175,77,-318,-1,-1,-1
-2,0,0,-74,-83,-387,-1,-1,-1
1,-7,0,-7,360,796,-1,-1,-1
-1,0,-2,217,294,-264,-1,-1,-1
0,0,0,376,286,-136,-1,-1,-1
-1,0,0,325,191,-212,-1,-1,-1
7,-3,0,-231,-605,278,-1,-1,-1
-3,-2,-3,0,-5,-383,-1,-1,-1
-2,0,0,116,237,-324,-1,-1,-1
-1,0,0,316,334,-144,-1,-1,-1
2,-1,-1,687,118,338,-1,-1,-1
-1,-4,0,126,62,-320,-1,-1,-1
-2,0,0,-47,-70,-370,-1,-1,-1
-2,0,0,60,191,-352,-1,-1,-1
-3,3,4,484,255,-639,-1,-1,-1
0,-6,4,362,315,-111,-1,-1,-1
-2,0,0,257,173,-225,-1,-1,-1
-2,0,0,11,-53,-357,-1,-1,-1
6,-1,-1,450,848,364,-1,-1,-1
-2,-5,1,189,157,1,-1,-1,-1
0,0,0,344,344,-75,-1,-1,-1
-1,0,0,326,229,-176,-1,-1,-1
0,-1,-3,-605,512,331,-1,-1,-1
-2,-3,-4,1,-32,-492,-1,-1,-1
-2,0,0,75,283,-265,-1,-1,-1
0,0,0,284,390,-57,-1,-1,-1
-1,0,0,319,307,-119,-1,-1,-1
0,1,1,189,-504,-885,-1,-1,-1
-2,0,0,20,-33,-343,-1,-1,-1
-2,0,0,-3,214,-269,-1,-1,-1
7,-6,-2,828,86,990,-1,-1,-1
5,4,6,306,145,596,-1,-1,-1
-1,0,0,280,41,-361,-1,-1,-1
-2,0,0,218,108,-316,-1,-1,-1
-3,0,0,78,268,-116,-1,-1,-1
2,-3,1,536,-849,-404,-1,-1,-1
-3,0,0,55,258,-26,-1,-1,-1
-2,0,0,255,76,-275,-1,-1,-1
-2,0,0,221,50,-301,-1,-1,-1
4,-7,-4,-915,577,264,-1,-1,-1
